Description,Price,Rating,Product URL
"Amazon Brand - Vedaka Pink Rock Salt Powder, 1kg (pack of 2)",₹199,3.9 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06670671YW37WHCYL3WV&url=%2FVedaka-Pink-Rock-Salt-Powder%2Fdp%2FB07KX1RK12%2Fref%3Dsr_1_59_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-59-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_btf
"Urban Platter Garlic Salt, 150g",₹225,4.2 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01444261ACO43KJ0J6YF&url=%2FUrban-Platter-Garlic-Salt-200g%2Fdp%2FB01MXOMVNK%2Fref%3Dsr_1_60_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296515%26sr%3D8-60-spons%26psc%3D1&qualifier=1627296515&id=8767562264393753&widgetName=sp_btf
Ved Tatva Himalayan Pink Rock Salt Sendha Namak 1 KG (PACK OF 10),₹990,,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02153143Q78VHYYTUUAI&url=%2FTatva-Himalayan-Pink-Sendha-Namak%2Fdp%2FB08ZJ7VYMB%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296523%26sr%3D8-49-spons%26psc%3D1&qualifier=1627296523&id=2869667111031556&widgetName=sp_atf_next
Mesmara Himalayan Pink Salt – 1 Kg,₹299,5.0 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A029648638MPGWRHHNZ7L&url=%2FMesmara-Himalayan-Pink-Salt-Kg%2Fdp%2FB092JKZDHT%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296523%26sr%3D8-50-spons%26psc%3D1&qualifier=1627296523&id=2869667111031556&widgetName=sp_atf_next
Himalayan Natives 100% Natural Himalayan Pink Salt Granules (300 Grams),₹133,4.1 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A03483312CIWSA26IOOPC&url=%2FHimalayan-Natives-Natural-Granules-Grams%2Fdp%2FB07XDW87QV%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296523%26smid%3DAT95IG9ONZD7S%26sr%3D8-51-spons%26psc%3D1&qualifier=1627296523&id=2869667111031556&widgetName=sp_atf_next
Vedpure Black Salt (440. GMS),₹159,4.2 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00469102322TDT8PAXWZ&url=%2FVedpure-Black-Salt-440-GMS%2Fdp%2FB07VP5CDK2%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dsalt%26qid%3D1627296523%26sr%3D8-52-spons%26psc%3D1&qualifier=1627296523&id=2869667111031556&widgetName=sp_atf_next
Thanjai Natural's Non-iodised Indian Natural Sea Salt 100% Natural for Healthy Cooking - 500g,₹65,5.0 out of 5 stars,https://www.amazon.in/Thanjai-Naturals-Non-iodised-Natural-Healthy/dp/B091TSYD8P/ref=sr_1_53?dchild=1&keywords=salt&qid=1627296523&sr=8-53
"Nature Purify Pure Himalayan Pink Salt, | Non Iodised for Weight Loss & Healthy Cooking (500gm)",₹99,5.0 out of 5 stars,https://www.amazon.in/Nature-Purify-Himalayan-Iodised-Healthy/dp/B099KPZ5FS/ref=sr_1_54?dchild=1&keywords=salt&qid=1627296523&sr=8-54
"Nature Vit Himalayan Pink Rock Salt Powder, 1 Kg [Jar Pack]",₹325,4.2 out of 5 stars,https://www.amazon.in/Nature-Vit-Himalayan-Pink-Powder/dp/B089YVJW3Q/ref=sr_1_55?dchild=1&keywords=salt&qid=1627296523&sr=8-55
YOGAFY- Himalayan Pink Crystals Salt with 84 Minerals for Cooking |100 % Natural | 350g- for Detox,₹189,4.2 out of 5 stars,https://www.amazon.in/YOGAFY-Himalayan-Crystals-Minerals-Cooking/dp/B08GCST9XC/ref=sr_1_56?dchild=1&keywords=salt&qid=1627296523&smid=APJKHTNMIV2MP&sr=8-56
