Description,Price,Rating,Product URL
"Logitech M190 Wireless Mouse , Full Size Ambidextrous Curve Design, 18-Month Battery with Power Saving Mode, USB Receiver, Precise Cursor Control + Scrolling, Wide Scroll Wheel, Scooped Buttons -Black",₹799,4.3 out of 5 stars,https://www.amazon.in/Logitech-M190-Wireless-Ambidextrous-Scrolling/dp/B08FJ8YSB8/ref=sr_1_32?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-32
Foxin Wireless Optical Wheel Mouse with Nano Receiver FWM-9099 (Elite Blue),₹360,3.7 out of 5 stars,https://www.amazon.in/Foxin-Wireless-Optical-Receiver-FWM-9099/dp/B08GZGYJS2/ref=sr_1_33?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-33
"HP Wireless Bluetooth Mouse 250 for PCs and Laptops, Adjustable DPI, Security Encryption, High-Resolution Optical Sensor, and Ergonomic Comfort, Black (6CR73AA)",₹849,4.2 out of 5 stars,https://www.amazon.in/HP-250-Bluetooth-Mouse-6CR73AA/dp/B084XM5N9W/ref=sr_1_34?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-34
"Logitech M337 Wireless Mouse, Bluetooth, 1000 DPI Laser Grade Optical Sensor, 10-Month Battery Life, PC/Mac/Laptop - Black","₹1,145",4.5 out of 5 stars,https://www.amazon.in/Logitech-M337-Bluetooth-Mouse-Black/dp/B017IW92J2/ref=sr_1_35?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-35
QUANTUM QHM262W Nano USB 2.4 Ghz Receiver Cordless Wireless Mouse (Black and Grey),₹340,3.5 out of 5 stars,https://www.amazon.in/Quantum-Cordless-Wireless-QHM262W-Receiver/dp/B076QCMNYY/ref=sr_1_36?dchild=1&keywords=wireless+mouse&qid=1627296225&sr=8-36
AmazonBasics Compact Ergonomic Wireless Mouse with Fast Scrolling - Silver,"₹1,199",3.9 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A04079402V9F7BEZ761GC&url=%2FAmazonBasics-Compact-Ergonomic-Wireless-Scrolling%2Fdp%2FB0787PGF9R%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26sr%3D8-37-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_btf
"Ergonomic Vertical Optical Right Hand Mouse (White, Ergonomic Vertical)","₹1,599",3.3 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A013765023NN5FN57CO9T&url=%2FErgonomic-Vertical-Optical-Right-Mouse%2Fdp%2FB08L3XL56B%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296225%26sr%3D8-38-spons%26psc%3D1&qualifier=1627296225&id=4642553725408210&widgetName=sp_btf
AmazonBasics Wireless Mouse with Nano Receiver - Black,"₹1,103",4.1 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0855001191971UG1SKQX&url=%2FAmazonBasics-Wireless-Mouse-Receiver-Black%2Fdp%2FB005EJH6Z4%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296227%26sr%3D8-33-spons%26psc%3D1&qualifier=1627296227&id=5894654914322119&widgetName=sp_atf_next
"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite","₹1,695",4.6 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A05247073SYUVV46V4OD&url=%2FLogitech-Pebble-M350-Wireless-Bluetooth%2Fdp%2FB07X2L5Z8C%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296227%26sr%3D8-34-spons%26psc%3D1&qualifier=1627296227&id=5894654914322119&widgetName=sp_atf_next
"Rechargeable Ultra Thin Wireless A2 Mouse (Light Grey) -1600 dpi, No Clicking Sound (Silent Button), RGB Light LED Backlit, Ergonomic Design & Comfortable Shape - for Office & Home Use",₹749,,https://www.amazon.in/Rechargeable-Wireless-Clicking-Ergonomic-Comfortable/dp/B097JVVFPQ/ref=sr_1_35?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-35
